Item ;Designator;QTY;Value;Package;Mfg part;LCSC part#
Конденсаторы;;;;;;
1;C1, C2, C3, C4, C5, C6, C7, C8;8;22uF, 16V;1206;GRM31CR61C226KE15L;C77088
Резисторы;;;;;;
2;R1, R2;2;500ohm;0603;"
0603WAF0000T5E";"

C21189"
3;R3;1;0.015 ohm;2512;CR2512FR015E04Z;"
C176027"
4;R4;1;1.8 ohm;0603;"
FRC0603J1R8 TS";"
C2907087"
Индукторы;;;;;;
5;L1;1;2.2uH;0503;"
CXP0530-2R2M-AG(2.2uh)";"
C7461347"
Диоды;;;;;;
6;D1;1;SR540;SMC;SR540;"
C7428156"
7;D2;1;"
SS34";SMC;SS34;"
C8678"
Транзисторы;;;;;;
8;VT1 ;1;AO4409;SOP-8;AO4409;"
C7603375"
9;VT2;1;"
CSD17576Q5B";D-PACK;"
CSD17576Q5B";C157569
Модули;;;;;;
10;M1;1;CN3302;SOP-8;CN3302;C559039
